2026-05-05 20:48:05 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 20:48:10 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:49:00 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:49:11 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:49:48 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:50:42 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:51:16 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:57:14 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:58:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 20:59:40 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:00:01 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:00:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 21:00:34 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:01:55 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:03:27 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:07:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:09:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:10:03 | ERROR | api | Private API Failed (POST /g-orders): Phemex Error [11150]: TE_OI_LIMIT_REDUCE_ONLY
2026-05-05 21:12:09 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:12:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 21:12:48 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
