2026-05-02 23:07:03 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.81% > 0.75%
2026-05-02 23:07:04 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.80% > 0.75%
2026-05-02 23:07:04 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.23% > 0.75%
2026-05-02 23:07:04 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.15% > 0.75%
2026-05-02 23:07:04 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.01% > 0.75%
2026-05-02 23:07:04 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.41% > 0.75%
2026-05-02 23:07:05 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.31% > 0.75%
2026-05-02 23:07:05 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.30% > 0.75%
2026-05-02 23:07:10 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:07:12 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.95% > 0.75%
2026-05-02 23:07:12 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.94% > 0.75%
2026-05-02 23:07:12 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.92% > 0.75%
2026-05-02 23:07:12 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.91% > 0.75%
2026-05-02 23:07:24 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.35% > 0.75%
2026-05-02 23:07:28 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.09% > 0.75%
2026-05-02 23:07:30 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.06% > 0.75%
2026-05-02 23:07:34 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.07% > 0.75%
2026-05-02 23:07:34 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.04% > 0.75%
2026-05-02 23:07:35 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.03% > 0.75%
2026-05-02 23:07:36 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.08% > 0.75%
2026-05-02 23:07:41 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 0.98% > 0.75%
2026-05-02 23:07:41 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.02% > 0.75%
2026-05-02 23:07:41 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.09% > 0.75%
2026-05-02 23:07:45 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.68% > 0.75%
2026-05-02 23:07:45 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.67% > 0.75%
2026-05-02 23:07:47 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:07:47 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
