2026-04-02 23:30:55 | ERROR | bot | [U1000SATSUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000satsusdt
2026-04-02 23:30:55 | ERROR | bot | [U1000RATSUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000ratsusdt
2026-04-02 23:30:56 | DEBUG | bot | [ACEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:57 | DEBUG | bot | [MOVRUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:57 | DEBUG | bot | [NFPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:58 | DEBUG | bot | [POWRUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:58 | DEBUG | bot | [XAIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:59 | DEBUG | bot | [WIFUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:59 | DEBUG | bot | [MANTAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:00 | DEBUG | bot | [ONDOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:00 | DEBUG | bot | [UMAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:01 | DEBUG | bot | [LSKUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:01 | DEBUG | bot | [ALTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:02 | DEBUG | bot | [JUPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:02 | DEBUG | bot | [ZETAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:03 | DEBUG | bot | [RONUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:03 | DEBUG | bot | [DYMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:04 | DEBUG | bot | [MAVIAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:04 | DEBUG | bot | [PROMUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:31:05 | DEBUG | bot | [PIXELUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:05 | DEBUG | bot | [STRKUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:06 | DEBUG | bot | [GLMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:06 | DEBUG | bot | [PORTALUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:07 | DEBUG | bot | [TONUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:07 | DEBUG | bot | [AXLUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:08 | DEBUG | bot | [METISUSDT] Успешно: ISOLATED Margin, Lev=21x
